,Pool,NStar,mu,lOneNorm,sigma,feeRate,NARatio,psi,bStar_up,Tau_up,PandL_up,APR_up,bStar_low,Tau_low,PandL_low,APR_low,mean_cost
0,COMP_WETH_10000_0815.csv,1249.50809,0.0007099999999999999,0.01144,0.01938,0.003,0.0,0.60954,0.65,0.902,0.018000000000000002,0.02,0.467,0.466,0.013000000000000001,0.027000000000000003,15.224871634353976
1,COMP_WETH_3000_0815.csv,43296.70564,2.9999999999999997e-05,0.0022600000000000003,0.00533,0.003,0.0,0.47744,,,,,,,,,15.625927597747763
2,DAI_FEI_500_0815.csv,690.29401,0.00018,0.0008900000000000001,0.0024,0.003,0.0,0.15424000000000002,,,,,,,,,16.660641153711808
3,DAI_USDC_500_0815.csv,205146.50457000002,0.0,0.0,2.9999999999999997e-05,0.003,0.0,2.33482,2.2230000000000003,20919.705,2.8789999999999996,0.0,0.033,4.521,0.03,0.006999999999999999,14.969189132759366
4,DAI_USDT_500_0815.csv,143396.72434000002,0.0,1e-05,0.00018,0.003,0.0,0.42607,,,,,,,,,14.466818469653326
5,DAI_WETH_3000_0815.csv,171786.512,0.0,0.00137,0.00305,0.003,0.0,0.8835799999999999,1.171,0.86,0.276,0.321,0.156,0.015,0.028999999999999998,1.932,14.93705012562766
6,FEI_WETH_500_0815.csv,1596.01521,-0.00026000000000000003,0.00336,0.00984,0.003,0.0,0.03466,,,,,,,,,17.883972327288568
7,fish_WETH_10000_0815.csv,917.8569,0.00443,0.06423999999999999,0.08279,0.003,0.0,0.18746,,,,,,,,,15.449717724319111
8,FLX_WETH_3000_0815.csv,4754.45053,0.00018,0.03107,0.08201,0.003,0.0,0.027719999999999998,,,,,,,,,14.790289675420183
9,LINK_WETH_3000_0815.csv,111484.76146,2e-05,0.0008300000000000001,0.00236,0.003,0.0,0.8950600000000001,1.186,2.271,0.289,0.127,0.151,0.037000000000000005,0.028999999999999998,0.7979999999999999,15.171427381635386
10,LQTY_WETH_3000_0815.csv,52918.0057,8e-05,0.01402,0.0287,0.003,0.0,0.10212,,,,,,,,,15.73185794110961
11,MKR_WETH_3000_0815.csv,31778.67555,4e-05,0.002,0.00402,0.003,0.0,0.74178,0.948,1.745,0.125,0.07200000000000001,0.243,0.115,0.027999999999999997,0.24,15.38601992070873
12,MKR_WETH_500_0815.csv,3019.8555100000003,0.00043,0.00759,0.02582,0.003,0.0,0.01139,,,,,,,,,15.5957304314643
13,POOL_WETH_3000_0815.csv,4347.246,9e-05,0.02045,0.03596,0.003,0.0,0.09489,,,,,,,,,15.115519231586635
14,RAI_DAI_500_0815.csv,21532.01824,0.0,0.00082,0.0033299999999999996,0.003,0.0,0.0741,,,,,,,,,15.21511616700607
15,RAI_WETH_3000_0815.csv,5618.6681100000005,-7e-05,0.01086,0.01683,0.003,0.0,0.22994,,,,,,,,,14.796607744983739
16,RAI_WETH_500_0815.csv,149.57016000000002,0.00062,0.06447,0.08342000000000001,0.003,0.0,0.00927,,,,,,,,,8.157076543530236
17,SOCKS_WETH_3000_0815.csv,510.53005,-0.00146,0.02005,0.03255,0.003,0.0,0.11352999999999999,,,,,,,,,17.53962405230285
18,UNI_WETH_3000_0815.csv,102067.87142000001,1e-05,0.00045999999999999996,0.00119,0.003,0.0,1.9569999999999999,2.041,28.724,2.072,0.07200000000000001,0.040999999999999995,0.012,0.03,2.565,15.265298086776923
19,USDC_ETH_10000_0809.csv,565.33293,0.00926,0.060610000000000004,0.09466000000000001,0.003,0.9842799999999999,0.13527,,,,,,,,,15.639440553731447
20,USDC_ETH_3000_0809.csv,854.2203599999999,0.0036200000000000004,0.05968,0.08496000000000001,0.003,0.9981700000000001,0.04961,,,,,,,,,14.667302736479416
21,USDC_ETH_500_0809.csv,1251.98911,0.00421,0.05757999999999999,0.08032,0.003,0.9991899999999999,0.00893,,,,,,,,,12.805303873036616
22,USDC_USDT_500_0815.csv,338260.22146,0.0,0.0,1e-05,0.003,0.0,28.73569,4.744,1658182.9619999998,107.571,0.0,0.002,0.415,0.037000000000000005,0.08900000000000001,14.760213439652318
23,USDC_WETH_10000_0815.csv,35097.35448,-1e-05,0.0022600000000000003,0.00439,0.003,0.0,2.34157,2.226,7.322,2.8939999999999997,0.395,0.032,0.002,0.03,19.117,15.440234089744983
24,USDC_WETH_3000_0815.csv,417329.02901999996,0.0,0.00066,0.0016699999999999998,0.003,0.0,1.4290399999999999,1.7109999999999999,2.528,1.077,0.426,0.065,0.004,0.03,8.326,14.402631877245891
25,WBTC_WETH_3000_0815.csv,139234.90307,0.0,0.00043,0.0010400000000000001,0.003,0.0,2.40559,2.253,33.976,3.037,0.08900000000000001,0.032,0.006999999999999999,0.03,4.521,14.616252738837325
26,WETH_USDT_3000_0815.csv,319571.4923,0.0,0.0007599999999999999,0.00176,0.003,0.0,1.4822899999999999,1.75,3.096,1.169,0.37799999999999995,0.061,0.004,0.03,7.95,14.39473601871907
27,YFI_WETH_3000_0815.csv,21760.85786,5.9999999999999995e-05,0.00345,0.008140000000000001,0.003,0.0,0.31219,,,,,,,,,15.710665738186822
